Partlist

Exported from TiLDA Mk2 Prototype v0.1.sch at 18/01/2014 12:49:16

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                       Device                    Package                  Library           Sheet
C115     0402/100n/10V/X5R           C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C116     0402/100n/10V/X5R           C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C117     0402/100n/10V/X5R           C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C118     0402/100n/10V/X5R           C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C119     0402/100n/10V/X5R           C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C120     0402/10n/10v/Y5V            C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C121     0402/7p/                    C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C122     0402/7p/                    C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C123     0402/15p/                   C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C124     0402/15p/                   C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C125     0402/15p/                   C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C126     0402/10n/10V/Y5V            C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C127     SMC_B/10u/                  CPOL-EUSMCB               SMC_B                    TiLDA Mk2 Parts   1
C132     0402/100n/10V/X5R           C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C133     SMC_B/10u/                  CPOL-EUSMCB               SMC_B                    TiLDA Mk2 Parts   1
C134     0402/100n/10V/X5R           C-EUC0402-ARDUINO-ROUND   C0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
C135     SMC_B/10u/                  CPOL-EUSMCB               SMC_B                    TiLDA Mk2 Parts   1
D1       BAT54S                      BAT54S                    SC70-3-R                 TiLDA Mk2 Parts   1
IC1      ATSAM3X8EA-AU               ATSAM3X/AAU               LQFP144                  TiLDA Mk2 Parts   1
IC2      MPU-6050                    MPU-6050                  QFN-24-NODIE             TiLDA Mk2 Parts   1
IC3      SRF-V1.2                    SRF-LANDING-1.2           SRF-LANDING-1.2          Ciseco Footprints 1
IC4      LTC4160                     LTC4160                   QFN-20                   TiLDA Mk2 Parts   1
IC5      S25FL216K0PMFI011           SPI_FLASH-X25XXSMD1       SO08-EIAJ                TiLDA Mk2 Parts   1
IC6      AT45DB161E-SSHFHA (NP)      AT45DB041B-EIAJ           SO08-EIAJ                TiLDA Mk2 Parts   1
IC7      HMC5883LSMD (NP)            HMC5883LSMD               16LPCC                   TiLDA Mk2 Parts   1
IC8      MCP1825T-3302E/DC           MCP1825T-3302E/DC         SOT127P700X180-6N        TiLDA Mk2 Parts   1
IR_RX    TSOP75238TT                 IR-RECEIVERTSOP75438TT    TSOP75X                  TiLDA Mk2 Parts   1
IR_TX    VSMB3940X01-GS08            IR-SENDER-PLCC            P-LCC-2                  TiLDA Mk2 Parts   1
J1       ZX62-AB-5PA(11)             USB-AB-LWK                USB-AB-MICRO-SMD_LWK     TiLDA Mk2 Parts   1
J2       FCI 62684-401100ALF         EPD-62684                 62684-401100             TiLDA Mk2 Parts   1
J3       Arduino Headers             ARDUINOSPI-REFRENCE       ARDUINOR3-LWKTXT-REF-SPI TiLDA Mk2 Parts   1
J4       10114830-10102LF            53261-02                  53261-02                 TiLDA Mk2 Parts   1
J5       1050270001 (NP)             USD-SOCKET-105027-LWK     105027-LWK               TiLDA Mk2 Parts   1
J6       B016 - NCP11402 5V0         POWER-POD-EMF             POWER-POD-EMF            TiLDA Mk2 Parts   1
JP1      ERASE                       M02PTH                    1X02                     TiLDA Mk2 Parts   1
JP2      JTAG M50-3500542            PINHEAD_PINHD-2X5PASSO127 PINHEAD_2X05_127         TiLDA Mk2 Parts   1
JP3      ANT                         TPPAD1-13                 P1-13                    TiLDA Mk2 Parts   1
JP4      DAC                         M021X02_NO_SILK           1X02_NO_SILK             TiLDA Mk2 Parts   1
JP5      CAN                         M021X02_NO_SILK           1X02_NO_SILK             TiLDA Mk2 Parts   1
JP6      FTDI                        M06SIP                    1X06                     TiLDA Mk2 Parts   1
JP7      ETH                         M08X2                     2X8                      TiLDA Mk2 Parts   1
JP8      SRF Reprogram               M04X2-PAD                 2X4-PAD                  TiLDA Mk2 Parts   1
L1       LPS4018-332MLB              L-EULPS4018               LPS4018                  TiLDA Mk2 Parts   1
L101     MH2029-300Y                 WE-CBF_0805               WUERTH-0805              TiLDA Mk2 Parts   1
